Topic,Keyword,Score
0,the,0.1130474752347063
0,and,0.0727753949706169
0,of,0.06828828191004857
0,to,0.0643497651512635
0,is,0.05543908548042896
0,in,0.052022183167253336
0,it,0.048211649801697384
0,this,0.04584486067733305
0,that,0.039970734748117916
0,was,0.033190399261462895
1,the,0.10728957926070473
1,and,0.07298404359935028
1,to,0.06864547536271384
1,of,0.06272509808012804
1,it,0.05541386743473015
1,show,0.052419970931995644
1,that,0.050149277466822496
1,this,0.04689399114291955
1,is,0.04563698088000666
1,in,0.04220923300406305
